x,qx,px
0,0.00266,0.99734
1,0.00041,0.99959
2,0.00031,0.99969
3,0.00024,0.99976
4,0.00021,0.99979
5,0.0002,0.9998
6,0.00022,0.99978
7,0.00023,0.99977
8,0.00022,0.99978
9,0.00021,0.99979
10,0.00019,0.99981
11,0.00018,0.99982
12,0.0002,0.9998
13,0.00022,0.99978
14,0.00023,0.99977
15,0.00023,0.99977
16,0.00024,0.99976
17,0.00024,0.99976
18,0.00025,0.99975
19,0.00026,0.99974
20,0.00027,0.99973
21,0.00028,0.99972
22,0.0003,0.9997
23,0.00032,0.99968
24,0.00034,0.99966
25,0.00038,0.99962
26,0.00042,0.99958
27,0.00046,0.99954
28,0.00049,0.99951
29,0.00052,0.99948
30,0.00056,0.99944
31,0.0006,0.9994
32,0.00064,0.99936
33,0.00069,0.99931
34,0.00074,0.99926
35,0.0008,0.9992
36,0.00086,0.99914
37,0.00093,0.99907
38,0.001,0.999
39,0.00108,0.99892
40,0.00118,0.99882
41,0.00128,0.99872
42,0.00141,0.99859
43,0.00154,0.99846
44,0.00169,0.99831
45,0.00187,0.99813
46,0.00209,0.99791
47,0.0023,0.9977
48,0.00253,0.99747
49,0.00277,0.99723
50,0.00305,0.99695
51,0.00335,0.99665
52,0.00368,0.99632
53,0.00403,0.99597
54,0.00442,0.99558
55,0.00483,0.99517
56,0.00524,0.99476
57,0.00563,0.99437
58,0.00601,0.99399
59,0.00636,0.99364
60,0.00671,0.99329
61,0.00707,0.99293
62,0.00746,0.99254
63,0.00788,0.99212
64,0.00833,0.99167
65,0.00883,0.99117
66,0.0094,0.9906
67,0.01005,0.98995
68,0.01076,0.98924
69,0.0115,0.9885
70,0.01229,0.98771
71,0.01314,0.98686
72,0.01406,0.98594
73,0.01508,0.98492
74,0.0162,0.9838
75,0.01743,0.98257
76,0.01879,0.98121
77,0.0203,0.9797
78,0.02326,0.97674
79,0.0288,0.9712
80,0.03569,0.96431
81,0.04208,0.95792
82,0.04907,0.95093
83,0.0552,0.9448
84,0.06086,0.93914
85,0.06715,0.93285
86,0.07318,0.92682
87,0.08155,0.91845
88,0.09045,0.90955
89,0.10001,0.89999
90,0.10913,0.89087
91,0.11521,0.88479
92,0.12499,0.87501
93,0.13826,0.86174
94,0.15451,0.84549
95,0.17429,0.82571
96,0.19155,0.80845
97,0.20596,0.79404
98,0.22227,0.77773
99,0.23736,0.76264
100,0.2581,0.7419
101,0.28068,0.71932
102,0.30562,0.69438
103,0.33315,0.66685
104,0.36369,0.63631
105,0.39318,0.60682
106,0.42883,0.57117
107,0.46604,0.53396
108,0.50427,0.49573
109,0.54477,0.45523
110,0.58702,0.41298
111,1,0
