x,qx,px
0,0.00524,0.99476
1,0.00053,0.99947
2,0.00042,0.99958
3,0.00034,0.99966
4,0.00029,0.99971
5,0.00026,0.99974
6,0.00023,0.99977
7,0.00021,0.99979
8,0.0002,0.9998
9,0.0002,0.9998
10,0.00019,0.99981
11,0.00019,0.99981
12,0.00019,0.99981
13,0.0002,0.9998
14,0.00023,0.99977
15,0.00027,0.99973
16,0.00031,0.99969
17,0.00037,0.99963
18,0.00043,0.99957
19,0.00047,0.99953
20,0.00049,0.99951
21,0.00049,0.99951
22,0.00049,0.99951
23,0.00049,0.99951
24,0.0005,0.9995
25,0.00052,0.99948
26,0.00055,0.99945
27,0.0006,0.9994
28,0.00065,0.99935
29,0.0007,0.9993
30,0.00075,0.99925
31,0.00081,0.99919
32,0.00087,0.99913
33,0.00093,0.99907
34,0.00099,0.99901
35,0.00107,0.99893
36,0.00116,0.99884
37,0.00127,0.99873
38,0.00139,0.99861
39,0.00155,0.99845
40,0.00173,0.99827
41,0.00193,0.99807
42,0.00216,0.99784
43,0.00241,0.99759
44,0.0027,0.9973
45,0.00302,0.99698
46,0.00338,0.99662
47,0.00377,0.99623
48,0.00418,0.99582
49,0.00461,0.99539
50,0.00508,0.99492
51,0.00556,0.99444
52,0.00609,0.99391
53,0.00667,0.99333
54,0.00727,0.99273
55,0.00789,0.99211
56,0.00847,0.99153
57,0.00898,0.99102
58,0.00939,0.99061
59,0.00971,0.99029
60,0.00999,0.99001
61,0.01024,0.98976
62,0.01046,0.98954
63,0.01071,0.98929
64,0.01104,0.98896
65,0.01146,0.98854
66,0.01199,0.98801
67,0.0126,0.9874
68,0.01329,0.98671
69,0.01405,0.98595
70,0.01485,0.98515
71,0.01574,0.98426
72,0.0167,0.9833
73,0.01777,0.98223
74,0.01895,0.98105
75,0.02026,0.97974
76,0.02369,0.97631
77,0.02738,0.97262
78,0.0313,0.9687
79,0.03693,0.96307
80,0.04518,0.95482
81,0.05527,0.94473
82,0.06732,0.93268
83,0.08228,0.91772
84,0.09478,0.90522
85,0.10465,0.89535
86,0.11533,0.88467
87,0.12698,0.87302
88,0.13947,0.86053
89,0.15271,0.84729
90,0.16659,0.83341
91,0.17991,0.82009
92,0.1939,0.8061
93,0.20874,0.79126
94,0.22451,0.77549
95,0.24126,0.75874
96,0.25715,0.74285
97,0.27419,0.72581
98,0.29249,0.70751
99,0.31215,0.68785
100,0.33331,0.66669
101,0.35163,0.64837
102,0.37132,0.62868
103,0.3925,0.6075
104,0.41527,0.58473
105,0.43973,0.56027
106,0.46602,0.53398
107,0.49429,0.50571
108,0.52467,0.47533
109,0.55733,0.44267
110,0.59244,0.40756
111,1,0
